Timestamp,Emotion
2024-08-05 15:54:17,Neutral
2024-08-05 15:54:17,Neutral
2024-08-05 15:54:18,Neutral
2024-08-05 15:54:18,Neutral
2024-08-05 15:54:18,Neutral
2024-08-05 15:54:18,Neutral
2024-08-05 15:54:18,Neutral
2024-08-05 15:54:18,Neutral
2024-08-05 15:54:19,Neutral
2024-08-05 15:54:19,Neutral
2024-08-05 15:54:19,Neutral
2024-08-05 15:54:20,Neutral
2024-08-05 15:54:20,Neutral
2024-08-05 15:54:20,Neutral
2024-08-05 15:54:21,Neutral
2024-08-05 15:54:21,Neutral
2024-08-05 15:54:22,Neutral
2024-08-05 15:54:27,Neutral
2024-08-05 15:54:28,Neutral
2024-08-05 15:54:28,Neutral
2024-08-05 15:54:28,Neutral
2024-08-05 15:54:28,Neutral
2024-08-05 15:54:28,Neutral
2024-08-05 15:54:28,Neutral
2024-08-05 15:54:29,Neutral
2024-08-05 15:54:29,Neutral
2024-08-05 15:54:29,Neutral
2024-08-05 15:54:29,Neutral
2024-08-05 15:54:29,Neutral
