Timestamp,Emotion
2024-08-05 15:55:14,Neutral
2024-08-05 15:55:15,Neutral
2024-08-05 15:55:15,Neutral
2024-08-05 15:55:15,Neutral
2024-08-05 15:55:15,Neutral
2024-08-05 15:55:15,Neutral
2024-08-05 15:55:15,Neutral
2024-08-05 15:55:15,Neutral
2024-08-05 15:55:16,Neutral
2024-08-05 15:55:16,Neutral
2024-08-05 15:55:18,Happy
2024-08-05 15:55:18,Neutral
2024-08-05 15:55:19,Neutral
2024-08-05 15:55:19,Neutral
2024-08-05 15:55:20,Neutral
2024-08-05 15:55:21,Angry
2024-08-05 15:55:25,Sad
2024-08-05 15:55:25,Angry
2024-08-05 15:55:25,Angry
2024-08-05 15:55:26,Neutral
2024-08-05 15:55:26,Neutral
2024-08-05 15:55:26,Neutral
2024-08-05 15:55:26,Neutral
2024-08-05 15:55:26,Neutral
2024-08-05 15:55:26,Neutral
2024-08-05 15:55:27,Neutral
2024-08-05 15:55:27,Neutral
2024-08-05 15:55:27,Neutral
2024-08-05 15:55:27,Neutral
2024-08-05 15:55:27,Neutral
2024-08-05 15:55:28,Neutral
2024-08-05 15:55:28,Neutral
2024-08-05 15:55:28,Sad
2024-08-05 15:55:28,Sad
2024-08-05 15:55:28,Sad
2024-08-05 15:55:28,Sad
2024-08-05 15:55:29,Sad
2024-08-05 15:55:29,Sad
2024-08-05 15:55:29,Sad
2024-08-05 15:55:29,Sad
2024-08-05 15:55:29,Sad
2024-08-05 15:55:29,Sad
2024-08-05 15:55:29,Sad
2024-08-05 15:55:30,Sad
2024-08-05 15:55:30,Sad
2024-08-05 15:55:30,Sad
2024-08-05 15:55:30,Sad
2024-08-05 15:55:30,Sad
2024-08-05 15:55:31,Neutral
2024-08-05 15:55:31,Neutral
2024-08-05 15:55:31,Angry
2024-08-05 15:55:31,Neutral
2024-08-05 15:55:31,Neutral
2024-08-05 15:55:31,Angry
2024-08-05 15:55:32,Neutral
2024-08-05 15:55:32,Neutral
2024-08-05 15:55:32,Neutral
2024-08-05 15:55:32,Neutral
2024-08-05 15:55:32,Neutral
2024-08-05 15:55:32,Sad
