Timestamp,Emotion
2024-08-05 16:19:31,Sad
2024-08-05 16:19:31,Sad
2024-08-05 16:19:31,Neutral
2024-08-05 16:19:33,Neutral
2024-08-05 16:19:33,Neutral
2024-08-05 16:19:33,Neutral
2024-08-05 16:19:34,Neutral
2024-08-05 16:19:34,Neutral
2024-08-05 16:19:34,Neutral
2024-08-05 16:19:34,Neutral
2024-08-05 16:19:34,Neutral
2024-08-05 16:19:34,Neutral
2024-08-05 16:19:35,Neutral
2024-08-05 16:19:35,Neutral
2024-08-05 16:19:35,Neutral
2024-08-05 16:19:35,Neutral
2024-08-05 16:19:36,Neutral
2024-08-05 16:19:36,Neutral
2024-08-05 16:19:36,Neutral
2024-08-05 16:19:37,Neutral
2024-08-05 16:19:37,Neutral
